['u'],['m1'],['abs_m1']
1.244429195320943,(0.432239167481-0.338231939885j),0.54884564593597585
0.8492603828600398,(0.493820950794-0.273305733907j),0.5644069060788629
0.33270084342285311,(0.573173090104-0.164318228875j),0.59626157981250538
-0.22905986277051482,(0.64823032564-0.0468919899516j),0.64992416003827291
-0.66623601317208103,(0.690705777611+0.0841864848373j),0.69581738657090353
-0.87209285491398114,(0.666934381559+0.231162168554j),0.70585934680775664
-1.0177154566563189,(0.585098507246+0.363459167264j),0.68879810499863459
-1.1201656419806865,(0.437276511993+0.462694427448j),0.63662931218374719
-1.5548039926171062,(0.235705913923+0.492088536715j),0.54562661759172626
-1.8497717394371973,(0.0729303658858+0.50762523149j),0.51283741469716981
-2.0198829991260401,(-0.08905663191+0.489344675076j),0.49738244310864399
-2.2074376996887008,(-0.254319649023+0.460717080162j),0.52624966682388596
-1.9555851619770197,(-0.357456691262+0.358054972663j),0.50594332644714912
-1.4453056996502236,(-0.426097116896+0.233736039443j),0.48599515343446176
-0.78487016424016132,(-0.462835424048+0.100635539302j),0.47364980895624109
-0.0033758529955085245,(-0.468277324673-0.0359804624077j),0.46965758428628862
0.80774066111091292,(-0.438054904928-0.165864904423j),0.46840502372440407
1.5444038369820114,(-0.391314399419-0.286346373044j),0.48489298257297397
2.1401134332781129,(-0.331072735251-0.392259311853j),0.51329964325135669
2.586973368815594,(-0.256072721255-0.481248752755j),0.5451363137777312
2.9095091405206372,(-0.168633740983-0.555590063285j),0.58061834023623626
2.9410764657534028,(-0.0746480103399-0.60547367257j),0.61005794284065906
2.8209130317691438,(0.0111863552515-0.627166027356j),0.62726578131905264
2.6020987712462991,(0.105870236379-0.622186033478j),0.63112912086716744
2.3417541878940225,(0.200166486809-0.603897148734j),0.63620624697546702
2.032581459897703,(0.293328805126-0.572097744227j),0.64291338208683446
1.6709014175172006,(0.386644579833-0.529087755581j),0.65530747303874759
1.2465905402252007,(0.487246680047-0.473160636464j),0.67918356511040423
0.49980857609045398,(0.628562545929-0.415066494603j),0.7532403793526089
-0.029422492210202079,(0.733773172761-0.265695443228j),0.78039550076575126
-0.40537812078466445,(0.794360401964-0.0890621718617j),0.79933754989032102
-0.61303968498672856,(0.801048754279+0.110226015565j),0.80859685952866578
-0.71989396237368353,(0.752291410873+0.305220069087j),0.81185076057553862
-0.8097319699638843,(0.655009558494+0.485756674791j),0.81547352429273934
-0.87628878485682227,(0.51978616547+0.617664691244j),0.80727153339105151
-0.81688752681069554,(0.317293370604+0.721805836708j),0.78846607342067943
-1.0702620877853559,(0.058198481797+0.789411621229j),0.79155402280238629
-1.8014915209307061,(-0.163342200282+0.725823824453j),0.74397640993273284
-2.3116093573000436,(-0.348122640474+0.623926211851j),0.71447413574259988
-2.4549656105479611,(-0.485840018764+0.491459808443j),0.69106676026813685
-2.1149613715719271,(-0.576910141108+0.333734364806j),0.66648626179797343
