['theta(0)'],['theta(t_end)']
5.9323421357501758,3.1970450697427695
3.8336814628836748,3.303684331575417
4.4681850707879267,2.9795009756041688
2.3535285086465287,2.25328760252384
2.5582758913652115,3.3921949188965144
1.1261106049527567,2.4335079550210144
2.6051971665715765,2.4153792805094643
4.3818072687034828,3.5308259592789559
4.1599976040915756,3.7131790970127834
2.0538721828967894,3.6961168151195598
2.9347124856344569,3.5020333585841414
3.364468710820026,3.715311882249436
4.5865546514221656,2.7544921331372829
1.6337134912761584,3.7163782748677625
2.5497447504185997,3.6321332580199712
4.6537373863767337,3.3985932746064735
3.6161373687450742,3.5948095163785445
6.1893427567668562,3.3559375698734142
4.4639195003146215,3.687585674172948
6.2234673205533033,3.7131790970127834
5.3244983433040858,3.2418335597124814
4.2079852719162671,3.4551120833777764
3.5873447680502593,3.4572448686144295
5.0248420175543469,3.4935022176375297
3.1693188616662815,3.6054734425618093
3.0893394152917959,3.6993159929745389
2.2564867803788196,3.3399416805985171
1.9994861593621391,2.9592395158559661
3.5404234928438942,3.5265603888056503
4.0949476543736614,3.4305850531562676
2.7598240962289151,3.6086726204167889
3.2066426033077078,3.4593776538510825
2.8110109419085862,3.7131790970127834
1.9482993136824684,2.0410754714768715
0.10557286921432095,3.4839046840725914
2.8206084754735241,3.5532202042638121
4.1834582416947583,3.1437254388264462
2.4697653040441141,3.5393571002255677
4.3092925706572824,3.6065398351801359
1.2690072158085044,3.6769217479896832
1.4204349676108636,0.98321399409700927
4.6473390306667746,3.6140045835084211
4.8328913462555807,3.5969423016151976
3.4764399357443061,3.4689751874160204
4.3327532082604652,1.8043363102083945
1.2679408231901779,3.3068835094303966
4.9448625711798613,3.4444481571945116
2.0442746493318511,3.4796391135992852
5.9995248707047439,3.2695597677889698
3.8902002716549777,2.9656378715659248
0.47241192991862807,3.6982496003562124
2.5508111430369262,3.5702824861570357
4.8798126214619462,3.715311882249436
2.4740308745174202,3.5969423016151976
4.1663959598015348,3.4785727209809587
3.4625768317060617,3.7131790970127834
4.6217456078269397,1.4886840951837581
1.6251823503295466,2.8515338614049921
4.2463754061760204,3.6993159929745389
0.87977391011934125,3.1906467140328107
5.3234319506857597,3.3100826872853761
3.9413871173346489,3.1607877207196697
2.8621977875882569,3.4295186605379411
1.4940160582753903,3.6140045835084211
3.3100826872853761,3.6886520667912741
2.711836428404224,3.3783318148582704
2.5710726027851294,3.4817718988359383
1.3191276688698486,2.2116982904091076
4.1290722181601085,3.4348506236295733
0.32631614120790109,3.4199211269730028
2.5710726027851294,3.0189575024822486
1.5185430884968993,2.1882376528059253
2.3737899683947314,3.6865192815546215
0.94802303769223562,3.2642278046973376
4.2293131242827968,3.184248358322852
1.7574150350020294,3.4188547343546762
2.4452382738226053,2.9176502037412333
1.8736518303996152,3.4508465129044708
3.7334405567609861,3.5446890633172004
1.3340571655264193,3.7163782748677625
1.9195067129876535,1.9067100015677358
4.0352296677473785,3.3207466134686405
3.9115281240215074,3.3420744658351702
3.8208847514637569,3.2460991301857876
5.4162081084801628,2.8280732238018098
5.0429706920658965,3.5713488787753622
1.2466129708236484,3.2834228718272143
5.2967721352275978,3.1159992307499578
2.5657406396934967,0.50653649370507525
5.5964284609773367,3.6982496003562124
2.9453764118177217,3.1757172173762402
5.0344395511192852,2.2212958239740459
2.9954968648790659,3.4828382914542648
2.0474738271868307,1.8118010585366797
4.9150035778667194,2.7246331398241415
2.3119391965317959,2.4505702369142379
5.6028268166872959,3.1650532911929754
3.6758553553713567,2.0410754714768715
3.4231203048279824,2.4207112436010965
1.576128289886529,2.9763017977491897
3.3175474356136614,3.303684331575417
1.7510166792920707,1.8427264444681475
5.210394333143153,1.8331289109032092
4.5129735607576391,2.8259404385651568
3.7142454896311099,3.6950504225012333
2.6841102203277356,3.6609258587147862
3.7526356238908627,3.6758553553713567
3.1405262609714666,3.5884111606685858
4.3754089129935236,3.2141073516359935
5.0472362625392027,3.6843864963179684
4.5662931916739629,3.6587930734781331
